品类,月份,库存量
category261,2023-06-01,18833
category261,2023-07-01,18015
category261,2023-08-01,19124
category261,2023-09-01,19366
category262,2022-07-01,200662
category262,2022-08-01,186694
category262,2022-09-01,178344
category262,2023-01-01,179897
category262,2023-02-01,160079
category262,2023-03-01,171108
category262,2023-04-01,191121
category262,2023-05-01,186887
category262,2023-06-01,191040
category262,2023-07-01,196323
category262,2023-08-01,194916
category262,2023-09-01,194451
category263,2022-07-01,323316
category263,2022-08-01,278003
category263,2022-09-01,259403
category263,2023-01-01,374880
category263,2023-02-01,358996
category263,2023-03-01,336751
category263,2023-04-01,310823
category263,2023-05-01,304142
category263,2023-06-01,535916
category263,2023-07-01,336794
category263,2023-08-01,322151
category263,2023-09-01,315721
category264,2022-07-01,3957
category264,2022-08-01,5434
category264,2022-09-01,8124
category264,2023-01-01,7990
category264,2023-02-01,3296
category264,2023-03-01,6930
category264,2023-04-01,8451
category264,2023-05-01,11080
category264,2023-06-01,16293
category264,2023-07-01,3957
category264,2023-08-01,5434
category264,2023-09-01,8124
category265,2022-07-01,234
category265,2022-08-01,855
category265,2022-09-01,721
category265,2023-01-01,2199
category265,2023-02-01,1464
category265,2023-03-01,1443
category265,2023-04-01,1974
category265,2023-05-01,2432
category265,2023-06-01,8029
category265,2023-07-01,234
category265,2023-08-01,855
category265,2023-09-01,721
category266,2022-07-01,307160
category266,2022-08-01,183088
category266,2022-09-01,83669
category266,2023-01-01,173217
category266,2023-02-01,148553
category266,2023-03-01,128340
category266,2023-04-01,151803
category266,2023-05-01,218844
category266,2023-06-01,321537
category266,2023-07-01,307160
category266,2023-08-01,183088
category266,2023-09-01,83669
category267,2022-07-01,91412
category267,2022-08-01,88795
category267,2022-09-01,87081
category267,2023-01-01,81740
category267,2023-02-01,80252
category267,2023-03-01,79086
category267,2023-04-01,77376
category267,2023-05-01,61880
category267,2023-06-01,26361
category267,2023-07-01,81219
category267,2023-08-01,75531
category267,2023-09-01,70716
category268,2022-07-01,19486
category268,2022-08-01,20217
category268,2022-09-01,19966
category268,2023-01-01,16405
category268,2023-02-01,15017
category268,2023-03-01,22393
category268,2023-04-01,19571
category268,2023-05-01,19104
category268,2023-06-01,17949
category268,2023-07-01,18487
category268,2023-08-01,18578
category268,2023-09-01,18445
category269,2022-07-01,745
category269,2022-08-01,761
category269,2022-09-01,562
category269,2023-01-01,1025
category269,2023-02-01,1086
category269,2023-03-01,979
category269,2023-04-01,3768
category269,2023-05-01,1751
category269,2023-06-01,3011
category269,2023-07-01,745
category269,2023-08-01,761
category269,2023-09-01,562
category27,2022-07-01,34941
category27,2022-08-01,34423
category27,2022-09-01,32780
category27,2023-01-01,31956
category27,2023-02-01,28955
category27,2023-03-01,27796
category27,2023-04-01,30786
category27,2023-05-01,28666
category27,2023-06-01,31229
category27,2023-07-01,31980
category27,2023-08-01,32385
category27,2023-09-01,32423
category270,2022-07-01,4548
category270,2022-08-01,3222
category270,2022-09-01,4007
category270,2023-01-01,6764
category270,2023-02-01,5411
category270,2023-03-01,4065
category270,2023-04-01,3498
category270,2023-05-01,4769
category270,2023-06-01,5145
category270,2023-07-01,4800
category270,2023-08-01,4291
category270,2023-09-01,4485
category271,2022-07-01,15021
category271,2022-08-01,14279
category271,2022-09-01,12875
category271,2023-01-01,16922
category271,2023-02-01,10860
category271,2023-03-01,12627
category271,2023-04-01,14023
category271,2023-05-01,15606
category271,2023-06-01,20609
category271,2023-07-01,18087
category271,2023-08-01,18668
category271,2023-09-01,18649
category272,2022-07-01,10648
category272,2022-08-01,10831
category272,2022-09-01,10814
category272,2023-01-01,10604
category272,2023-02-01,10604
category272,2023-03-01,10632
category272,2023-04-01,8999
category272,2023-05-01,8996
category272,2023-06-01,9399
category272,2023-07-01,9669
category272,2023-08-01,9694
category272,2023-09-01,9670
category273,2022-07-01,72476
category273,2022-08-01,65172
category273,2022-09-01,67482
category273,2023-01-01,101029
category273,2023-02-01,85711
category273,2023-03-01,73575
category273,2023-04-01,64222
category273,2023-05-01,69526
category273,2023-06-01,84527
category273,2023-07-01,84333
category273,2023-08-01,85848
category273,2023-09-01,90730
category274,2022-07-01,6
category274,2022-08-01,18
category274,2022-09-01,19
category274,2023-01-01,18
category274,2023-02-01,34
category274,2023-03-01,27
category274,2023-04-01,35
category274,2023-05-01,34
category274,2023-06-01,39
category274,2023-07-01,6
category274,2023-08-01,18
category274,2023-09-01,19
category275,2022-07-01,51498
category275,2022-08-01,46068
category275,2022-09-01,41304
category275,2023-01-01,82794
category275,2023-02-01,66963
category275,2023-03-01,87733
category275,2023-04-01,82027
category275,2023-05-01,58500
category275,2023-06-01,91494
category275,2023-07-01,62853
category275,2023-08-01,60700
category275,2023-09-01,58723
category276,2022-07-01,658859
category276,2022-08-01,607660
category276,2022-09-01,610063
category276,2023-01-01,842452
category276,2023-02-01,637785
category276,2023-03-01,646711
category276,2023-04-01,637023
category276,2023-05-01,628926
category276,2023-06-01,813532
category276,2023-07-01,739774
category276,2023-08-01,757239
category276,2023-09-01,787530
category277,2022-07-01,5503
category277,2022-08-01,6498
category277,2022-09-01,5532
category277,2023-01-01,5815
category277,2023-02-01,4184
category277,2023-03-01,5066
category277,2023-04-01,8354
category277,2023-05-01,6727
category277,2023-06-01,9149
category277,2023-07-01,7179
category277,2023-08-01,8097
category277,2023-09-01,7793
category278,2022-07-01,2592
category278,2022-08-01,2500
category278,2022-09-01,2709
category278,2023-01-01,2985
category278,2023-02-01,2515
category278,2023-03-01,2362
category278,2023-04-01,2021
category278,2023-05-01,1884
category278,2023-06-01,2209
category278,2023-07-01,2133
category278,2023-08-01,2075
category278,2023-09-01,2125
category279,2022-07-01,583854
category279,2022-08-01,560681
category279,2022-09-01,534198
category279,2023-01-01,554013
category279,2023-02-01,510534
category279,2023-03-01,567438
category279,2023-04-01,503826
category279,2023-05-01,559447
category279,2023-06-01,624793
category279,2023-07-01,611487
category279,2023-08-01,625274
category279,2023-09-01,634072
category28,2022-07-01,46408
category28,2022-08-01,58658
category28,2022-09-01,42848
category28,2023-01-01,39010
category28,2023-02-01,38060
category28,2023-03-01,35670
category28,2023-04-01,40959
category28,2023-05-01,47252
category28,2023-06-01,49449
category28,2023-07-01,50533
category28,2023-08-01,55485
category28,2023-09-01,52175
category280,2022-07-01,337985
category280,2022-08-01,262743
category280,2022-09-01,220331
category280,2023-01-01,392383
category280,2023-02-01,307135
category280,2023-03-01,308725
category280,2023-04-01,244247
category280,2023-05-01,254841
category280,2023-06-01,344781
category280,2023-07-01,298506
category280,2023-08-01,283246
category280,2023-09-01,276522
category281,2022-07-01,53088
category281,2022-08-01,44442
category281,2022-09-01,59615
category281,2023-01-01,57756
category281,2023-02-01,49325
category281,2023-03-01,63969
category281,2023-04-01,56378
category281,2023-05-01,59867
category281,2023-06-01,78040
category281,2023-07-01,65103
category281,2023-08-01,63744
category281,2023-09-01,73624
category282,2022-07-01,182519
category282,2022-08-01,171845
category282,2022-09-01,144640
category282,2023-01-01,184159
category282,2023-02-01,164370
category282,2023-03-01,129256
category282,2023-04-01,125787
category282,2023-05-01,132605
category282,2023-06-01,168591
category282,2023-07-01,144327
category282,2023-08-01,138750
category282,2023-09-01,128168
category283,2022-07-01,257504
category283,2022-08-01,233010
category283,2022-09-01,239658
category283,2023-01-01,228895
category283,2023-02-01,184173
category283,2023-03-01,184744
category283,2023-04-01,203170
category283,2023-05-01,219104
category283,2023-06-01,343098
category283,2023-07-01,300019
category283,2023-08-01,308816
category283,2023-09-01,338788
category284,2022-07-01,13004
category284,2022-08-01,8793
category284,2022-09-01,10854
category284,2023-01-01,22353
category284,2023-02-01,18110
category284,2023-03-01,12291
category284,2023-04-01,12282
category284,2023-05-01,11442
category284,2023-06-01,18082
category284,2023-07-01,11310
category284,2023-08-01,9892
category284,2023-09-01,10233
category285,2022-07-01,110735
category285,2022-08-01,90685
category285,2022-09-01,110799
category285,2023-01-01,139308
category285,2023-02-01,110145
category285,2023-03-01,125333
category285,2023-04-01,120042
category285,2023-05-01,97790
category285,2023-06-01,181772
category285,2023-07-01,128554
category285,2023-08-01,126295
category285,2023-09-01,140732
category286,2022-07-01,165435
category286,2022-08-01,158370
category286,2022-09-01,150093
category286,2023-01-01,152583
category286,2023-02-01,150134
category286,2023-03-01,148141
category286,2023-04-01,174230
category286,2023-05-01,158798
category286,2023-06-01,180584
category286,2023-07-01,172564
category286,2023-08-01,174418
category286,2023-09-01,175189
category287,2022-07-01,89077
category287,2022-08-01,83704
category287,2022-09-01,77213
category287,2023-01-01,48738
category287,2023-02-01,35055
category287,2023-03-01,59786
category287,2023-04-01,75457
category287,2023-05-01,93132
category287,2023-06-01,130141
category287,2023-07-01,100693
category287,2023-08-01,101500
category287,2023-09-01,101279
category288,2022-07-01,40
category288,2022-08-01,75
category288,2022-09-01,17
category288,2023-01-01,11
category288,2023-02-01,11
category288,2023-03-01,11
category288,2023-04-01,10
category288,2023-05-01,5
category288,2023-06-01,4
category288,2023-07-01,29
category288,2023-08-01,52
category288,2023-09-01,12
category289,2022-07-01,3207
category289,2022-08-01,2576
category289,2022-09-01,1949
category289,2023-01-01,2390
category289,2023-02-01,815
category289,2023-03-01,2330
category289,2023-04-01,2479
category289,2023-05-01,2293
category289,2023-06-01,2629
category289,2023-07-01,3001
category289,2023-08-01,2888
category289,2023-09-01,2754
category29,2022-07-01,185887
category29,2022-08-01,155891
category29,2022-09-01,135354
category29,2023-01-01,126317
category29,2023-02-01,137328
category29,2023-03-01,111332
category29,2023-04-01,119968
category29,2023-05-01,122236
category29,2023-06-01,125996
category29,2023-07-01,143324
category29,2023-08-01,134826
category29,2023-09-01,129056
category290,2022-07-01,6237
category290,2022-08-01,4499
category290,2022-09-01,3782
category290,2023-01-01,5319
category290,2023-02-01,4302
category290,2023-03-01,4376
category290,2023-04-01,3394
category290,2023-05-01,3120
category290,2023-06-01,3473
category290,2023-07-01,4275
category290,2023-08-01,3545
category290,2023-09-01,3219
category291,2022-07-01,84
category291,2022-08-01,108
category291,2022-09-01,144
category291,2023-01-01,1176
category291,2023-02-01,492
category291,2023-03-01,669
category291,2023-04-01,612
category291,2023-05-01,1146
category291,2023-06-01,4233
category291,2023-07-01,84
category291,2023-08-01,108
category291,2023-09-01,144
category292,2022-07-01,16617
category292,2022-08-01,7442
category292,2022-09-01,4703
category292,2023-01-01,5931
category292,2023-02-01,4469
category292,2023-03-01,4038
category292,2023-04-01,1866
category292,2023-05-01,947
category292,2023-06-01,2374
category292,2023-07-01,10896
category292,2023-08-01,5089
category292,2023-09-01,3309
category293,2022-07-01,79631
category293,2022-08-01,76343
category293,2022-09-01,59758
category293,2023-01-01,55898
category293,2023-02-01,56904
category293,2023-03-01,65899
category293,2023-04-01,65357
category293,2023-05-01,63336
category293,2023-06-01,64674
category293,2023-07-01,69688
category293,2023-08-01,69593
category293,2023-09-01,65862
category294,2022-07-01,122
category294,2022-08-01,72
category294,2022-09-01,59
category294,2023-01-01,385
category294,2023-02-01,272
category294,2023-03-01,67
category294,2023-04-01,320
category294,2023-05-01,150
category294,2023-06-01,127
category294,2023-07-01,104
category294,2023-08-01,81
category294,2023-09-01,71
category295,2022-07-01,30371
category295,2022-08-01,29009
category295,2022-09-01,28124
category295,2023-01-01,31659
category295,2023-02-01,30122
category295,2023-03-01,25113
category295,2023-04-01,29959
category295,2023-05-01,28067
category295,2023-06-01,27947
category295,2023-07-01,27784
category295,2023-08-01,27265
category295,2023-09-01,26900
category296,2022-07-01,41492
category296,2022-08-01,37985
category296,2022-09-01,36359
category296,2023-01-01,44237
category296,2023-02-01,39587
category296,2023-03-01,39729
category296,2023-04-01,44148
category296,2023-05-01,39897
category296,2023-06-01,42678
category296,2023-07-01,42340
category296,2023-08-01,41780
category296,2023-09-01,41639
category297,2022-07-01,76193
category297,2022-08-01,74091
category297,2022-09-01,66134
category297,2023-01-01,70138
category297,2023-02-01,58646
category297,2023-03-01,54054
category297,2023-04-01,55465
category297,2023-05-01,57076
category297,2023-06-01,67172
category297,2023-07-01,71797
category297,2023-08-01,74974
category297,2023-09-01,75958
category298,2022-07-01,1676
category298,2022-08-01,1657
category298,2022-09-01,1869
category298,2023-01-01,1467
category298,2023-02-01,1578
category298,2023-03-01,2245
category298,2023-04-01,1468
category298,2023-05-01,1412
category298,2023-06-01,1549
category298,2023-07-01,1748
category298,2023-08-01,1756
category298,2023-09-01,1814
category299,2022-07-01,241518
category299,2022-08-01,247074
category299,2022-09-01,245248
category299,2023-01-01,268685
category299,2023-02-01,260797
category299,2023-03-01,239619
category299,2023-04-01,241548
category299,2023-05-01,230010
category299,2023-06-01,227752
category299,2023-07-01,224955
category299,2023-08-01,221555
category299,2023-09-01,216289
category3,2022-07-01,1917
category3,2022-08-01,4399
category3,2022-09-01,3876
category3,2023-01-01,3408
category3,2023-02-01,3761
category3,2023-03-01,5410
category3,2023-04-01,6821
category3,2023-05-01,7583
category3,2023-06-01,8477
category3,2023-07-01,1917
category3,2023-08-01,4399
category3,2023-09-01,3876
category30,2022-07-01,388594
category30,2022-08-01,285997
category30,2022-09-01,292506
category30,2023-01-01,357478
category30,2023-02-01,322427
category30,2023-03-01,298936
category30,2023-04-01,274416
category30,2023-05-01,277904
category30,2023-06-01,382503
category30,2023-07-01,415429
category30,2023-08-01,393974
category30,2023-09-01,419862
category300,2022-07-01,24339
category300,2022-08-01,18482
category300,2022-09-01,14484
category300,2023-01-01,23839
category300,2023-02-01,16289
category300,2023-03-01,22598
category300,2023-04-01,19999
category300,2023-05-01,22360
category300,2023-06-01,25062
category300,2023-07-01,25156
category300,2023-08-01,23344
category300,2023-09-01,22205
category301,2022-07-01,2489
category301,2022-08-01,2190
category301,2022-09-01,3139
category301,2023-01-01,3238
category301,2023-02-01,2229
category301,2023-03-01,2822
category301,2023-04-01,2397
category301,2023-05-01,1882
category301,2023-06-01,3425
category301,2023-07-01,2645
category301,2023-08-01,2714
category301,2023-09-01,3094
category302,2022-07-01,3901
category302,2022-08-01,3317
category302,2022-09-01,2915
category302,2023-01-01,3189
category302,2023-02-01,2331
category302,2023-03-01,3860
category302,2023-04-01,4328
category302,2023-05-01,7426
category302,2023-06-01,5735
category302,2023-07-01,4360
category302,2023-08-01,3923
category302,2023-09-01,3630
category303,2022-07-01,42770
category303,2022-08-01,134473
category303,2022-09-01,64923
category303,2023-01-01,202365
category303,2023-02-01,224622
category303,2023-03-01,153835
category303,2023-04-01,115907
category303,2023-05-01,114949
category303,2023-06-01,116331
category303,2023-07-01,69912
category303,2023-08-01,123533
category303,2023-09-01,80767
category304,2022-07-01,1032
category304,2022-08-01,443
category304,2022-09-01,361
category304,2023-01-01,2
category304,2023-02-01,2
category304,2023-03-01,2
category304,2023-04-01,2
category304,2023-05-01,2
category304,2023-06-01,2
category304,2023-07-01,721
category304,2023-08-01,310
category304,2023-09-01,253
category305,2022-07-01,6747
category305,2022-08-01,6099
category305,2022-09-01,9346
category305,2023-01-01,11856
category305,2023-02-01,9633
category305,2023-03-01,10747
category305,2023-04-01,9804
category305,2023-05-01,9199
category305,2023-06-01,7463
category305,2023-07-01,7216
category305,2023-08-01,6783
category305,2023-09-01,7522
category306,2022-07-01,6600
category306,2022-08-01,4745
category306,2022-09-01,4136
category306,2023-01-01,5082
category306,2023-02-01,3970
category306,2023-03-01,3193
category306,2023-04-01,3783
category306,2023-05-01,3705
category306,2023-06-01,3531
category306,2023-07-01,4534
category306,2023-08-01,3911
category306,2023-09-01,3720
category307,2022-07-01,80453
category307,2022-08-01,65888
category307,2022-09-01,54014
category307,2023-01-01,69204
category307,2023-02-01,69423
category307,2023-03-01,66017
category307,2023-04-01,64993
category307,2023-05-01,66105
category307,2023-06-01,117695
category307,2023-07-01,76242
category307,2023-08-01,72227
category307,2023-09-01,69017
category308,2022-07-01,605595
category308,2022-08-01,484947
category308,2022-09-01,557901
category308,2023-01-01,565508
category308,2023-02-01,671128
category308,2023-03-01,659795
category308,2023-04-01,613699
category308,2023-05-01,636002
category308,2023-06-01,1136474
category308,2023-07-01,733218
category308,2023-08-01,680255
category308,2023-09-01,724395
category309,2022-07-01,521
category309,2022-08-01,156
category309,2022-09-01,129
category309,2023-01-01,483
category309,2023-02-01,119
category309,2023-03-01,588
category309,2023-04-01,697
category309,2023-05-01,1956
category309,2023-06-01,11097
category309,2023-07-01,521
category309,2023-08-01,156
category309,2023-09-01,129
category31,2022-07-01,230
category31,2022-08-01,224
category31,2022-09-01,172
category31,2023-01-01,165
category31,2023-02-01,162
category31,2023-03-01,159
category31,2023-04-01,156
category31,2023-05-01,135
category31,2023-06-01,37
category31,2023-07-01,230
category31,2023-08-01,224
category31,2023-09-01,172
category310,2022-07-01,1440
category310,2022-08-01,1413
category310,2022-09-01,1406
category310,2023-01-01,1300
category310,2023-02-01,1288
category310,2023-03-01,1272
category310,2023-04-01,1257
category310,2023-05-01,1097
category310,2023-06-01,288
category310,2023-07-01,1440
category310,2023-08-01,1413
category310,2023-09-01,1406
category311,2022-07-01,8478
category311,2022-08-01,18514
category311,2022-09-01,11191
category311,2023-01-01,9696
category311,2023-02-01,11615
category311,2023-03-01,13635
category311,2023-04-01,8349
category311,2023-05-01,13202
category311,2023-06-01,6862
category311,2023-07-01,9043
category311,2023-08-01,12071
category311,2023-09-01,8978
category312,2022-07-01,2980
category312,2022-08-01,2508
category312,2022-09-01,3271
category312,2023-01-01,4958
category312,2023-02-01,2653
category312,2023-03-01,2625
category312,2023-04-01,2554
category312,2023-05-01,4791
category312,2023-06-01,5863
category312,2023-07-01,2980
category312,2023-08-01,2508
category312,2023-09-01,3271
category313,2022-07-01,300301
category313,2022-08-01,237956
category313,2022-09-01,146078
category313,2023-01-01,264710
category313,2023-02-01,191451
category313,2023-03-01,199727
category313,2023-04-01,239259
category313,2023-05-01,255835
category313,2023-06-01,340130
category313,2023-07-01,321485
category313,2023-08-01,289632
category313,2023-09-01,234514
category314,2022-07-01,883
category314,2022-08-01,1366
category314,2022-09-01,1045
category314,2023-01-01,4795
category314,2023-02-01,2264
category314,2023-03-01,2097
category314,2023-04-01,1569
category314,2023-05-01,1007
category314,2023-06-01,1556
category314,2023-07-01,1095
category314,2023-08-01,1273
category314,2023-09-01,1196
category315,2022-07-01,115
category315,2022-08-01,30
category315,2022-09-01,68
category315,2023-01-01,342
category315,2023-02-01,225
category315,2023-03-01,228
category315,2023-04-01,215
category315,2023-05-01,225
category315,2023-06-01,185
category315,2023-07-01,115
category315,2023-08-01,30
category315,2023-09-01,68
category316,2022-07-01,121833
category316,2022-08-01,119948
category316,2022-09-01,115173
category316,2023-01-01,124716
category316,2023-02-01,125996
category316,2023-03-01,123661
category316,2023-04-01,138573
category316,2023-05-01,133239
category316,2023-06-01,139592
category316,2023-07-01,130962
category316,2023-08-01,131335
category316,2023-09-01,130911
category317,2022-07-01,313
category317,2022-08-01,289
category317,2022-09-01,303
category317,2023-01-01,232
category317,2023-02-01,196
category317,2023-03-01,155
category317,2023-04-01,178
category317,2023-05-01,157
category317,2023-06-01,127
category317,2023-07-01,221
category317,2023-08-01,207
category317,2023-09-01,211
category318,2022-07-01,36382
category318,2022-08-01,32673
category318,2022-09-01,22987
category318,2023-01-01,19646
category318,2023-02-01,19291
category318,2023-03-01,19069
category318,2023-04-01,19158
category318,2023-05-01,18951
category318,2023-06-01,14071
category318,2023-07-01,25174
category318,2023-08-01,23454
category318,2023-09-01,19263
category319,2022-07-01,110
category319,2022-08-01,468
category319,2022-09-01,509
category319,2023-01-01,834
category319,2023-02-01,689
category319,2023-03-01,693
category319,2023-04-01,814
category319,2023-05-01,733
category319,2023-06-01,1731
category319,2023-07-01,110
category319,2023-08-01,468
category319,2023-09-01,509
category32,2022-07-01,296419
category32,2022-08-01,291714
category32,2022-09-01,260469
category32,2023-01-01,226324
category32,2023-02-01,245278
category32,2023-03-01,271918
category32,2023-04-01,274051
category32,2023-05-01,264789
category32,2023-06-01,279942
category32,2023-07-01,286815
category32,2023-08-01,288152
category32,2023-09-01,282949
category320,2022-07-01,4781
category320,2022-08-01,3905
category320,2022-09-01,5181
category320,2023-01-01,4866
category320,2023-02-01,4631
category320,2023-03-01,5782
category320,2023-04-01,6298
category320,2023-05-01,7541
category320,2023-06-01,7037
category320,2023-07-01,6052
category320,2023-08-01,5630
category320,2023-09-01,6341
category321,2022-07-01,55351
category321,2022-08-01,51767
category321,2022-09-01,53505
category321,2023-01-01,64799
category321,2023-02-01,61329
category321,2023-03-01,50754
category321,2023-04-01,44087
category321,2023-05-01,45707
category321,2023-06-01,56722
category321,2023-07-01,49621
category321,2023-08-01,47529
category321,2023-09-01,46988
category322,2022-07-01,50253
category322,2022-08-01,50244
category322,2022-09-01,48794
category322,2023-01-01,56404
category322,2023-02-01,54851
category322,2023-03-01,51410
category322,2023-04-01,57361
category322,2023-05-01,52975
category322,2023-06-01,53939
category322,2023-07-01,52240
category322,2023-08-01,52190
category322,2023-09-01,51819
category323,2022-07-01,515852
category323,2022-08-01,393048
category323,2022-09-01,254461
category323,2023-01-01,12636
category323,2023-02-01,6813
category323,2023-03-01,3751
category323,2023-04-01,1441
category323,2023-05-01,888
category323,2023-06-01,622
category323,2023-07-01,362059
category323,2023-08-01,275611
category323,2023-09-01,178111
category324,2022-07-01,44799
category324,2022-08-01,43270
category324,2022-09-01,39368
category324,2023-01-01,44751
category324,2023-02-01,42138
category324,2023-03-01,43400
category324,2023-04-01,46873
category324,2023-05-01,42450
category324,2023-06-01,46572
category324,2023-07-01,45427
category324,2023-08-01,45579
category324,2023-09-01,45039
category325,2022-07-01,166610
category325,2022-08-01,125760
category325,2022-09-01,111572
category325,2023-01-01,145123
category325,2023-02-01,110316
category325,2023-03-01,121201
category325,2023-04-01,126520
category325,2023-05-01,121309
category325,2023-06-01,151895
category325,2023-07-01,156154
category325,2023-08-01,148458
category325,2023-09-01,148720
category326,2022-07-01,3
category326,2022-08-01,64
category326,2022-09-01,13
category326,2023-01-01,51
category326,2023-02-01,45
category326,2023-03-01,1
category326,2023-04-01,1
category326,2023-05-01,1
category326,2023-06-01,544
category326,2023-07-01,3
category326,2023-08-01,64
category326,2023-09-01,13
category327,2022-07-01,1308
category327,2022-08-01,891
category327,2022-09-01,416
category327,2023-01-01,123
category327,2023-02-01,268
category327,2023-03-01,170
category327,2023-04-01,131
category327,2023-05-01,74
category327,2023-06-01,39
category327,2023-07-01,952
category327,2023-08-01,640
category327,2023-09-01,288
category328,2022-07-01,55
category328,2022-08-01,52
category328,2022-09-01,63
category328,2023-01-01,277
category328,2023-02-01,398
category328,2023-03-01,465
category328,2023-04-01,457
category328,2023-05-01,435
category328,2023-06-01,392
category328,2023-07-01,55
category328,2023-08-01,52
category328,2023-09-01,63
category329,2022-07-01,1
category329,2022-08-01,499
category329,2022-09-01,493
category329,2023-01-01,400
category329,2023-02-01,401
category329,2023-03-01,401
category329,2023-04-01,401
category329,2023-05-01,401
category329,2023-06-01,425
category329,2023-07-01,1
category329,2023-08-01,499
category329,2023-09-01,493
category33,2022-07-01,50746
category33,2022-08-01,52197
category33,2022-09-01,47020
category33,2023-01-01,58267
category33,2023-02-01,57032
category33,2023-03-01,63333
category33,2023-04-01,75985
category33,2023-05-01,66420
category33,2023-06-01,72271
category33,2023-07-01,63245
category33,2023-08-01,64647
category33,2023-09-01,62924
category330,2022-07-01,235
category330,2022-08-01,206
category330,2022-09-01,182
category330,2023-01-01,64
category330,2023-02-01,35
category330,2023-03-01,19
category330,2023-04-01,34
category330,2023-05-01,1939
category330,2023-06-01,5939
category330,2023-07-01,235
category330,2023-08-01,206
category330,2023-09-01,182
category331,2022-07-01,43
category331,2022-08-01,609
category331,2022-09-01,812
category331,2023-01-01,24058
category331,2023-02-01,16617
category331,2023-03-01,24553
category331,2023-04-01,27201
category331,2023-05-01,33635
category331,2023-06-01,53239
category331,2023-07-01,43
category331,2023-08-01,609
category331,2023-09-01,812
category332,2022-07-01,47
category332,2022-08-01,47
category332,2022-09-01,47
category332,2023-01-01,7
category332,2023-02-01,6
category332,2023-03-01,6
category332,2023-04-01,5
category332,2023-05-01,3
category332,2023-06-01,3
category332,2023-07-01,33
category332,2023-08-01,33
category332,2023-09-01,32
category333,2022-07-01,6002
category333,2022-08-01,6002
category333,2022-09-01,6002
category333,2023-01-01,6002
category333,2023-02-01,6002
category333,2023-03-01,6002
category333,2023-04-01,6002
category333,2023-05-01,6002
category333,2023-06-01,6002
category333,2023-07-01,6002
category333,2023-08-01,6002
category333,2023-09-01,6002
category334,2022-07-01,152
category334,2022-08-01,91
category334,2022-09-01,116
category334,2023-01-01,70
category334,2023-02-01,56
category334,2023-03-01,126
category334,2023-04-01,189
category334,2023-05-01,816
category334,2023-06-01,1687
category334,2023-07-01,152
category334,2023-08-01,91
category334,2023-09-01,116
category335,2022-07-01,2398
category335,2022-08-01,1558
category335,2022-09-01,1250
category335,2023-01-01,1432
category335,2023-02-01,755
category335,2023-03-01,398
category335,2023-04-01,1115
category335,2023-05-01,790
category335,2023-06-01,706
category335,2023-07-01,1492
category335,2023-08-01,1139
category335,2023-09-01,1022
category336,2022-07-01,1
category336,2022-08-01,1
category336,2022-09-01,1
category336,2023-01-01,12
category336,2023-02-01,12
category336,2023-03-01,9
category336,2023-04-01,4
category336,2023-05-01,1
category336,2023-06-01,1
category336,2023-07-01,1
category336,2023-08-01,1
category336,2023-09-01,1
category337,2022-07-01,88
category337,2022-08-01,54
category337,2022-09-01,29
category337,2023-01-01,59
category337,2023-02-01,95
category337,2023-03-01,71
category337,2023-04-01,83
category337,2023-05-01,75
category337,2023-06-01,73
category337,2023-07-01,78
category337,2023-08-01,61
category337,2023-09-01,47
category338,2022-07-01,237
category338,2022-08-01,296
category338,2022-09-01,230
category338,2023-01-01,202
category338,2023-02-01,159
category338,2023-03-01,168
category338,2023-04-01,160
category338,2023-05-01,188
category338,2023-06-01,201
category338,2023-07-01,220
category338,2023-08-01,244
category338,2023-09-01,234
category339,2022-07-01,54
category339,2022-08-01,50
category339,2022-09-01,49
category339,2023-01-01,52
category339,2023-02-01,51
category339,2023-03-01,49
category339,2023-04-01,49
category339,2023-05-01,29
category339,2023-06-01,27
category339,2023-07-01,40
category339,2023-08-01,34
category339,2023-09-01,31
category34,2022-07-01,11827
category34,2022-08-01,9744
category34,2022-09-01,6949
category34,2023-01-01,6016
category34,2023-02-01,5759
category34,2023-03-01,7001
category34,2023-04-01,7108
category34,2023-05-01,10535
category34,2023-06-01,11277
category34,2023-07-01,12491
category34,2023-08-01,12150
category34,2023-09-01,11402
category340,2022-07-01,3642
category340,2022-08-01,4697
category340,2022-09-01,4795
category340,2023-01-01,3646
category340,2023-02-01,2201
category340,2023-03-01,2066
category340,2023-04-01,2029
category340,2023-05-01,2069
category340,2023-06-01,2504
category340,2023-07-01,2923
category340,2023-08-01,3457
category340,2023-09-01,3589
category341,2022-07-01,2006
category341,2022-08-01,1347
category341,2022-09-01,1626
category341,2023-01-01,4925
category341,2023-02-01,2693
category341,2023-03-01,1869
category341,2023-04-01,1060
category341,2023-05-01,561
category341,2023-06-01,758
category341,2023-07-01,1480
category341,2023-08-01,953
category341,2023-09-01,1116
category342,2022-07-01,1364
category342,2022-08-01,560
category342,2022-09-01,379
category342,2023-01-01,2188
category342,2023-02-01,105
category342,2023-03-01,1247
category342,2023-04-01,1999
category342,2023-05-01,919
category342,2023-06-01,6657
category342,2023-07-01,1364
category342,2023-08-01,560
category342,2023-09-01,379
category343,2022-07-01,269
category343,2022-08-01,266
category343,2022-09-01,183
category343,2023-01-01,122
category343,2023-02-01,124
category343,2023-03-01,896
category343,2023-04-01,860
category343,2023-05-01,611
category343,2023-06-01,451
category343,2023-07-01,328
category343,2023-08-01,325
category343,2023-09-01,266
category344,2022-07-01,38
category344,2022-08-01,55
